,Year,Winner,Musical,Music,Book,Lyrics,Link
178,2000,False,The Wild Party,LaChiusa,Michael John LaChiusa & George C. Wolfe,LaChiusa,https://en.wikipedia.org/wiki/The_Wild_Party_(LaChiusa_musical)
179,2001,True,The Producers,Brooks,Mel Brooks & Thomas Meehan,Brooks,https://en.wikipedia.org/wiki/The_Producers_(musical)
180,2001,False,A Class Act,Ed Kleban,Linda Kline & Lonny Price,Ed Kleban,https://en.wikipedia.org/wiki/A_Class_Act
181,2001,False,The Full Monty,David Yazbek,Terrence McNally,David Yazbek,https://en.wikipedia.org/wiki/The_Full_Monty_(musical)
182,2001,False,Jane Eyre,Paul Gordon,John Caird,Caird & Gordon,https://en.wikipedia.org/wiki/Jane_Eyre_(musical)
183,2002,True,Thoroughly Modern Millie,Jeanine Tesori,Richard Morris & Dick Scanlan,Scanlan,https://en.wikipedia.org/wiki/Thoroughly_Modern_Millie_(musical)
184,2002,False,Mamma Mia!,Benny Andersson & Björn Ulvaeus,Catherine Johnson,Benny Andersson & Björn Ulvaeus,https://en.wikipedia.org/wiki/Mamma_Mia!
185,2002,False,Sweet Smell of Success,Marvin Hamlisch,John Guare,Craig Carnelia,https://en.wikipedia.org/wiki/Sweet_Smell_of_Success_(musical)
186,2002,False,Urinetown,Mark Hollman,Greg Kotis,Hollmann & Kotis,https://en.wikipedia.org/wiki/Urinetown
187,2003,True,Hairspray,Marc Shaiman,Thomas Meehan & Mark O'Donnell,Shaiman & Scott Wittman,https://en.wikipedia.org/wiki/Hairspray_(musical)
188,2003,False,Amour,Michel Legrand,Jeremy Sams & Didier Van Cauwelaert,Sams & Van Cauwelaert,https://en.wikipedia.org/wiki/Amour_(musical)
189,2003,False,A Year with Frog and Toad,Robert Reale,Willie Reale,W. Reale,https://en.wikipedia.org/wiki/A_Year_with_Frog_and_Toad
190,2003,False,Movin' Out,Billy Joel,Twyla Tharp,Billy Joel,https://en.wikipedia.org/wiki/Movin%27_Out_(musical)
191,2004,True,Avenue Q,Robert Lopez & Jeff Marx,Jeff Whitty,Robert Lopez & Jeff Marx,https://en.wikipedia.org/wiki/Avenue_Q
192,2004,False,The Boy from Oz,Peter Allen,Martin Sherman,Peter Allen,https://en.wikipedia.org/wiki/The_Boy_from_Oz
193,2004,False,"Caroline, or Change",Jeanine Tesori,Tony Kushner,Kushner,"https://en.wikipedia.org/wiki/Caroline,_or_Change"
194,2004,False,Wicked,Stephen Schwartz,Winnie Holzman,Stephen Schwartz,https://en.wikipedia.org/wiki/Wicked_(musical)
195,2005,True,Spamalot,John Du Prez & Idle,Eric Idle,Idle,https://en.wikipedia.org/wiki/Spamalot
196,2005,False,The Light in the Piazza,Adam Guettel,Craig Lucas,Adam Guettel,https://en.wikipedia.org/wiki/The_Light_in_the_Piazza_(musical)
197,2005,False,Dirty Rotten Scoundrels,David Yazbek,Jeffrey Lane,David Yazbek,https://en.wikipedia.org/wiki/Dirty_Rotten_Scoundrels_(musical)
198,2005,False,The 25th Annual Putnam County Spelling Bee,William Finn,Rachel Sheinkin,William Finn,https://en.wikipedia.org/wiki/The_25th_Annual_Putnam_County_Spelling_Bee
199,2006,True,Jersey Boys,Bob Crewe & Bob Gaudio,Marshall Brickman & Rick Elice,Bob Crewe & Bob Gaudio,https://en.wikipedia.org/wiki/Jersey_Boys
200,2006,False,The Color Purple,"Stephen Bray, Brenda Russell & Allee Willis",Marsha Norman,"Stephen Bray, Brenda Russell & Allee Willis",https://en.wikipedia.org/wiki/The_Color_Purple_(musical)
201,2006,False,The Drowsy Chaperone,Lisa Lambert & Greg Morrison,Bob Martin & Don McKellar,Lisa Lambert & Greg Morrison,https://en.wikipedia.org/wiki/The_Drowsy_Chaperone
202,2006,False,The Wedding Singer,Matthew Sklar,Chad Beguelin & Tim Herlihy,Beguelin,https://en.wikipedia.org/wiki/The_Wedding_Singer_(musical)
203,2007,True,Spring Awakening,Duncan Sheik,Steven Sater,Sater,https://en.wikipedia.org/wiki/Spring_Awakening_(musical)
204,2007,False,Curtains,John Kander,Rupert Holmes,Fred Ebb,https://en.wikipedia.org/wiki/Curtains_(musical)
205,2007,False,Grey Gardens,Scott Frankel,Doug Wright,Michael Korie,https://en.wikipedia.org/wiki/Grey_Gardens_(musical)
206,2007,False,Mary Poppins,"Anthony Drewe, Sherman Brothers & George Stiles",Julian Fellowes,"Anthony Drewe, Sherman Brothers & George Stiles",https://en.wikipedia.org/wiki/Mary_Poppins_(musical)
207,2008,True,In the Heights,Lin-Manuel Miranda,Quiara Alegría Hudes,Lin-Manuel Miranda,https://en.wikipedia.org/wiki/In_the_Heights
208,2008,False,Cry-Baby,Adam Schlesinger,Thomas Meehan & Mark O'Donnell,David Javerbaum,https://en.wikipedia.org/wiki/Cry-Baby_(musical)
209,2008,False,Passing Strange,Heidi Rodewald & Stew,Stew,Stew,https://en.wikipedia.org/wiki/Passing_Strange_(musical)
210,2008,False,Xanadu,John Farrar & Jeff Lynne,Douglas Carter Beane,John Farrar & Jeff Lynne,https://en.wikipedia.org/wiki/Xanadu_(musical)
211,2009,True,Billy Elliot the Musical,Elton John,Lee Hall,Hall,https://en.wikipedia.org/wiki/Billy_Elliot_the_Musical
212,2009,False,Next to Normal †,Tom Kitt,Brian Yorkey,Yorkey,https://en.wikipedia.org/wiki/Next_to_Normal
