,Year,Musical,Book,Music,Lyrics
227,2013 | 67th Tony Awards,Kinky Boots,Harvey Fierstein,Cyndi Lauper,Cyndi Lauper
228,2013 | 67th Tony Awards,Bring It On: The Musical,Jeff Whitty,Tom Kitt & Lin-Manuel Miranda,Amanda Green & Miranda
229,2013 | 67th Tony Awards,A Christmas Story: The Musical,Joseph Robinette,Benj Pasek & Justin Paul,Benj Pasek & Justin Paul
230,2013 | 67th Tony Awards,Matilda the Musical,Dennis Kelly,Tim Minchin,Tim Minchin
231,2014 | 68th Tony Awards,A Gentleman's Guide to Love and Murder,Robert L. Freedman,Steven Lutvak,Freedman & Lutvak
232,2014 | 68th Tony Awards,After Midnight,Jack Viertel,Various,Various
233,2014 | 68th Tony Awards,Aladdin,Chad Beguelin,Alan Menken,"Howard Ashman, Beguelin & Tim Rice"
234,2014 | 68th Tony Awards,Beautiful: The Carole King Musical,Douglas McGrath,"Gerry Goffin, Carole King, Barry Mann & Cynthia Weil","Gerry Goffin, Carole King, Barry Mann & Cynthia Weil"
235,2015 | 69th Tony Awards,Fun Home,Lisa Kron,Jeanine Tesori,Kron
236,2015 | 69th Tony Awards,An American in Paris,Craig Lucas,George Gershwin,Ira Gershwin
237,2015 | 69th Tony Awards,Something Rotten!,Karey Kirkpatrick & John O'Farrell,Karey & Wayne Kirkpatrick,Karey & Wayne Kirkpatrick
238,2015 | 69th Tony Awards,The Visit,Terrence McNally,John Kander,Fred Ebb
239,2016 | 70th Tony Awards,Hamilton,Lin-Manuel Miranda,Lin-Manuel Miranda,Lin-Manuel Miranda
240,2016 | 70th Tony Awards,Bright Star,Steve Martin,Edie Brickell & Martin,Brickell
241,2016 | 70th Tony Awards,School of Rock,Julian Fellowes,Andrew Lloyd Webber,Glenn Slater
242,2016 | 70th Tony Awards,Shuffle Along,George C. Wolfe,Eubie Blake & Noble Sissle,Eubie Blake & Noble Sissle
243,2016 | 70th Tony Awards,Waitress,Jessie Nelson,Sara Bareilles,Sara Bareilles
244,2017 | 71st Tony Awards,Dear Evan Hansen,Steven Levenson,Benj Pasek & Justin Paul,Benj Pasek & Justin Paul
245,2017 | 71st Tony Awards,Come from Away,David Hein & Irene Sankoff,David Hein & Irene Sankoff,David Hein & Irene Sankoff
246,2017 | 71st Tony Awards,Groundhog Day,Danny Rubin,Tim Minchin,Tim Minchin
247,2017 | 71st Tony Awards,"Natasha, Pierre & The Great Comet of 1812",Dave Malloy,Dave Malloy,Dave Malloy
248,2018 | 72nd Tony Awards,The Band's Visit,Itamar Moses,David Yazbek,David Yazbek
249,2018 | 72nd Tony Awards,Frozen,Jennifer Lee,Kristen Anderson-Lopez & Robert Lopez,Kristen Anderson-Lopez & Robert Lopez
250,2018 | 72nd Tony Awards,Mean Girls,Tina Fey,Jeff Richmond,Nell Benjamin
251,2018 | 72nd Tony Awards,SpongeBob SquarePants,Kyle Jarrow,Various,Various
