,Year,Winner,Musical,Music,Book,Lyrics,Link
17,1999,True,Annie Get Your Gun,Irving Berlin,Dorothy & Herbert Fields,Irving Berlin,https://en.wikipedia.org/wiki/Annie_Get_Your_Gun_(musical)
18,1999,False,Little Me,Cy Coleman,Neil Simon,Carolyn Leigh,https://en.wikipedia.org/wiki/Little_Me_(musical)
19,1999,False,Peter Pan,Moose Charlap & Jule Styne,J. M. Barrie,"Betty Comden, Adolph Green & Leigh",https://en.wikipedia.org/wiki/Peter_Pan_(1954_musical)
20,1999,False,"You're a Good Man, Charlie Brown",Clark Gesner,John Gordon,Clark Gesner,"https://en.wikipedia.org/wiki/You%27re_a_Good_Man,_Charlie_Brown"
21,2000,True,"Kiss Me, Kate",Cole Porter,Bella & Samuel Spewack,Cole Porter,"https://en.wikipedia.org/wiki/Kiss_Me,_Kate"
22,2000,False,Jesus Christ Superstar,Andrew Lloyd Webber,Tim Rice,Rice,https://en.wikipedia.org/wiki/Jesus_Christ_Superstar
23,2000,False,The Music Man,Willson,Franklin Lacey & Meredith Willson,Willson,https://en.wikipedia.org/wiki/The_Music_Man
24,2000,False,Tango Argentino,Various,Héctor Orezzoli & Claudio Segovia,Various,https://en.wikipedia.org/wiki/Tango_Argentino_(musical)
25,2001,True,42nd Street,Harry Warren,Mark Bramble & Michael Stewart,Al Dubin,https://en.wikipedia.org/wiki/42nd_Street_(musical)
26,2001,False,Bells Are Ringing,Jule Styne,Betty Comden & Adolph Green,Comden & Green,https://en.wikipedia.org/wiki/Bells_Are_Ringing_(musical)
27,2001,False,Follies,Stephen Sondheim,James Goldman,Stephen Sondheim,https://en.wikipedia.org/wiki/Follies
28,2001,False,The Rocky Horror Show,Richard O'Brien,Richard O'Brien,Richard O'Brien,https://en.wikipedia.org/wiki/The_Rocky_Horror_Show
29,2002,True,Into the Woods,Stephen Sondheim,James Lapine,Stephen Sondheim,https://en.wikipedia.org/wiki/Into_the_Woods
30,2002,False,Oklahoma!,Richard Rodgers,Oscar Hammerstein II,Hammerstein,https://en.wikipedia.org/wiki/Oklahoma!
31,2003,True,Nine,Maury Yeston,Arthur Kopit,Maury Yeston,https://en.wikipedia.org/wiki/Nine_(musical)
32,2003,False,Gypsy,Jule Styne,Arthur Laurents,Stephen Sondheim,https://en.wikipedia.org/wiki/Gypsy_(musical)
33,2003,False,La bohème,Giacomo Puccini,Giuseppe Giacosa & Luigi Illica,Giacosa & Illica,https://en.wikipedia.org/wiki/La_boh%C3%A8me
34,2003,False,Man of La Mancha,Mitch Leigh,Dale Wasserman,Joe Darion,https://en.wikipedia.org/wiki/Man_of_La_Mancha
35,2004,True,Assassins,Stephen Sondheim,John Weidman,Stephen Sondheim,https://en.wikipedia.org/wiki/Assassins_(musical)
36,2004,False,Big River,Roger Miller,William Hauptman,Roger Miller,https://en.wikipedia.org/wiki/Big_River_(musical)
37,2004,False,Fiddler on the Roof,Jerry Bock,Joseph Stein,Sheldon Harnick,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof
38,2004,False,Wonderful Town,Leonard Bernstein,Jerome Chodorov & Joseph Fields,Betty Comden & Adolph Green,https://en.wikipedia.org/wiki/Wonderful_Town
